Asset;Ticker;Tipo_Operacao;Data_Abertura;Data_Fechamento;Quantidade_Abertura;Preco_Abertura;Quantidade_Fechamento;Preco_Fechamento;Tipo_Fechamento;PL_Realizado;Valor_Abertura;Valor_Fechamento;Dias_Posicao;Retorno_Percent
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;03/06/2025;;700;29,90;0;;;0,00;20930,16;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;03/06/2025;;100;29,85;0;;;0,00;2985,02;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;03/06/2025;;100;29,87;0;;;0,00;2987,02;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;03/06/2025;;100;29,89;0;;;0,00;2989,02;;;
PETROBRAS PN;PETROBRAS PN EDJ N2 #2;ABERTURA_LONG;03/06/2025;;100;30,00;0;;;0,00;3000,03;;;
PETROBRAS PN;PETROBRAS PN EDJ N2 #2;ABERTURA_LONG;03/06/2025;;100;30,15;0;;;0,00;3015,03;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;03/06/2025;;100;29,85;0;;;0,00;2985,02;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;03/06/2025;;200;29,87;0;;;0,00;5974,05;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;03/06/2025;;100;29,88;0;;;0,00;2988,02;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;03/06/2025;;200;29,89;0;;;0,00;5978,05;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;03/06/2025;;100;29,89;0;;;0,00;2989,02;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;03/06/2025;;1100;29,89;0;;;0,00;32879,26;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;03/06/2025;;200;29,89;0;;;0,00;5978,05;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;03/06/2025;;100;29,89;0;;;0,00;2989,02;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;03/06/2025;;300;29,90;0;;;0,00;8970,07;;;
PETROBRAS PN;PETROBRAS PN EDJ N2 #2;ABERTURA_LONG;03/06/2025;;100;30,00;0;;;0,00;3000,03;;;
PETROBRAS PN;PETROBRAS PN EDJ N2 #2;ABERTURA_LONG;03/06/2025;;100;30,00;0;;;0,00;3000,03;;;
PETROBRAS PN;PETROBRAS PN EDJ N2 #;ABERTURA_LONG;03/06/2025;;200;29,88;0;;;0,00;5976,05;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;03/06/2025;;200;29,89;0;;;0,00;5978,05;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;03/06/2025;;1200;29,89;0;;;0,00;35868,28;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;03/06/2025;;100;29,89;0;;;0,00;2989,02;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;03/06/2025;;100;29,90;0;;;0,00;2990,02;;;
PETROBRAS PN;PETROBRAS PN EDJ N2 #2;ABERTURA_LONG;03/06/2025;;100;30,13;0;;;0,00;3013,03;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;06/06/2025;;100;29,59;0;;;0,00;2959,03;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;06/06/2025;;1400;29,62;0;;;0,00;41468,38;;;
PETROBRAS PN;PETROBRAS PN EDJ N2 #2;ABERTURA_LONG;06/06/2025;;100;29,59;0;;;0,00;2959,03;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;06/06/2025;;100;29,62;0;;;0,00;2962,03;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;06/06/2025;;900;29,59;0;;;0,00;26631,23;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;06/06/2025;;1300;29,67;0;;;0,00;38571,37;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;09/06/2025;;2700;29,37;0;;;0,00;79296,95;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;09/06/2025;;800;29,37;0;;;0,00;23495,39;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;09/06/2025;;2700;29,37;0;;;0,00;79296,95;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;09/06/2025;;500;29,37;0;;;0,00;14684,62;;;
PETROBRAS PN;PETROBRAS PN EDJ N2 #;ABERTURA_LONG;09/06/2025;;2500;29,37;0;;;0,00;73423,10;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;09/06/2025;;1300;29,37;0;;;0,00;38180,01;;;
PETROBRAS PN;PETROBRAS PN EDJ N2 #;ABERTURA_LONG;09/06/2025;;2700;29,37;0;;;0,00;79296,95;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;09/06/2025;;2600;29,38;0;;;0,00;76386,04;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;09/06/2025;;700;29,37;0;;;0,00;20558,47;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;09/06/2025;;100;29,37;0;;;0,00;2936,92;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;09/06/2025;;100;29,37;0;;;0,00;2936,92;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;09/06/2025;;400;29,37;0;;;0,00;11747,70;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;09/06/2025;;100;29,37;0;;;0,00;2936,92;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;09/06/2025;;100;29,37;0;;;0,00;2936,92;;;
PETROBRAS PN;PETROBRAS PN EDJ N2;ABERTURA_LONG;09/06/2025;;2700;29,37;0;;;0,00;79296,95;;;
PETROBRAS PN;PETROBRAS PN N2 #2;FECHAMENTO_LONG;03/06/2025;17/06/2025;500;29,88;100;32,95;PARCIAL;306,76;14940,11;3294,78;14;10,27%
PETROBRAS PN;PETROBRAS PN N2;FECHAMENTO_LONG;03/06/2025;17/06/2025;400;29,88;100;32,94;PARCIAL;305,76;11952,09;3293,78;14;10,23%
PETROBRAS PN;PETROBRAS PN N2;FECHAMENTO_LONG;03/06/2025;17/06/2025;300;29,88;300;32,94;TOTAL;917,29;8964,07;9881,35;14;10,23%
PETROBRAS PN;PETROBRAS PN N2;FECHAMENTO_LONG;03/06/2025;17/06/2025;100;29,89;100;32,94;TOTAL;304,76;2989,02;3293,78;14;10,20%
PETROBRAS PN;PETROBRAS PN N2;FECHAMENTO_LONG;03/06/2025;17/06/2025;100;29,89;100;32,94;TOTAL;304,76;2989,02;3293,78;14;10,20%
PETROBRAS PN;PETROBRAS PN N2;FECHAMENTO_LONG;03/06/2025;17/06/2025;1100;30,13;200;32,94;PARCIAL;561,51;33143,35;6587,57;14;9,32%
PETROBRAS PN;PETROBRAS PN N2 #2;FECHAMENTO_LONG;03/06/2025;17/06/2025;900;30,13;100;32,95;PARCIAL;281,75;27117,29;3294,78;14;9,35%
PETROBRAS PN;PETROBRAS PN N2;FECHAMENTO_LONG;03/06/2025;17/06/2025;800;30,13;400;32,94;PARCIAL;1123,00;24104,25;13175,13;14;9,32%
PETROBRAS PN;PETROBRAS PN N2;FECHAMENTO_LONG;03/06/2025;17/06/2025;400;30,13;400;32,94;TOTAL;1123,01;12052,13;13175,13;14;9,32%
PETROBRAS PN;PETROBRAS PN N2;FECHAMENTO_LONG;03/06/2025;17/06/2025;1200;30,16;1200;32,94;TOTAL;3333,01;36192,39;39525,40;14;9,21%
PETROBRAS PN;PETROBRAS PN N2;FECHAMENTO_LONG;03/06/2025;17/06/2025;900;29,85;300;32,94;PARCIAL;926,28;26865,20;9881,35;14;10,34%
PETROBRAS PN;PETROBRAS PN N2;FECHAMENTO_LONG;03/06/2025;17/06/2025;600;29,85;100;32,94;PARCIAL;308,76;17910,13;3293,78;14;10,34%
PETRS342;PETRS342;ABERTURA_LONG;17/06/2025;;1700;0,80;0;;;0,00;1361,88;;;
PETRS342;PETRS342;ABERTURA_LONG;17/06/2025;;3300;0,80;0;;;0,00;2643,66;;;
PETRS342;PETRS342;ABERTURA_LONG;17/06/2025;;1200;0,80;0;;;0,00;961,33;;;
PETRS342;PETRS342;ABERTURA_LONG;17/06/2025;;18500;0,80;0;;;0,00;14820,51;;;
